,Unnamed: 0,Start,End,Delta,Course
30,0,2025-02-13 12:53:01,13/02/25 13:19:17,0 days 00:26:16.014118,MécaniquedesMilieuxContinus.csv
31,0,2025-02-13 13:58:04,13/02/25 15:02:15,0 days 01:04:11.987473,MécaniquedesMilieuxContinus.csv
32,0,2025-02-13 15:37:44,13/02/25 16:10:52,0 days 00:33:08.789336,MécaniquedesMilieuxContinus.csv
0,0,2025-02-15 12:36:41,15/02/25 13:14:38,0 days 00:37:57.623574,Télécommunications.csv
1,0,2025-02-15 14:51:44,15/02/25 15:16:38,0 days 00:24:54.337553,Télécommunications.csv
2,0,2025-02-15 15:58:20,15/02/25 16:44:50,0 days 00:46:30.915419,Télécommunications.csv
33,0,2025-02-17 10:51:22,17/02/25 12:52:35,0 days 02:01:13.565749,MécaniquedesMilieuxContinus.csv
34,0,2025-02-17 16:26:56,17/02/25 17:37:36,0 days 01:10:40.676543,MécaniquedesMilieuxContinus.csv
35,0,2025-02-18 16:34:19,18/02/25 16:47:21,0 days 00:13:02.818800,MécaniquedesMilieuxContinus.csv
36,0,2025-02-19 15:31:51,19/02/25 16:43:42,0 days 01:11:51.364459,MécaniquedesMilieuxContinus.csv
37,0,2025-02-19 17:02:52,19/02/25 17:07:48,0 days 00:04:56.157239,MécaniquedesMilieuxContinus.csv
38,0,2025-02-20 15:01:53,20/02/25 15:03:03,0 days 00:01:10.449002,MécaniquedesMilieuxContinus.csv
39,0,2025-02-22 11:25:56,22/02/25 12:23:24,0 days 00:57:28.931434,MécaniquedesMilieuxContinus.csv
8,0,2025-02-22 14:13:33,22/02/25 15:31:03,0 days 01:17:30.287363,Thermodynamique.csv
9,0,2025-02-22 15:43:02,22/02/25 16:18:15,0 days 00:35:13.558243,Thermodynamique.csv
10,0,2025-02-22 18:18:34,22/02/25 19:39:44,0 days 01:21:10.819492,Thermodynamique.csv
3,0,2025-02-23 13:27:07,23/02/25 14:01:05,0 days 00:33:58.630313,Télécommunications.csv
80,0,2025-02-23 17:39:35,23/02/25 17:39:39,0 days 00:00:04.056110,FabricationMécanique.csv
81,0,2025-02-24 10:42:02,24/02/25 12:48:35,0 days 02:06:33.648640,FabricationMécanique.csv
82,0,2025-02-24 13:53:46,24/02/25 14:30:51,0 days 00:37:05.454124,FabricationMécanique.csv
40,0,2025-02-25 13:52:20,25/02/25 15:00:19,0 days 01:07:59.954650,MécaniquedesMilieuxContinus.csv
41,0,2025-02-25 15:02:05,25/02/25 15:16:59,0 days 00:14:54.988213,MécaniquedesMilieuxContinus.csv
42,0,2025-02-25 17:00:34,25/02/25 17:43:57,0 days 00:43:23.850039,MécaniquedesMilieuxContinus.csv
43,0,2025-02-26 10:49:17,26/02/25 12:40:55,0 days 01:51:38.052687,MécaniquedesMilieuxContinus.csv
44,0,2025-02-26 14:21:26,26/02/25 16:05:02,0 days 01:43:36.996436,MécaniquedesMilieuxContinus.csv
83,0,2025-02-27 16:04:56,27/02/25 16:34:28,0 days 00:29:32.148648,FabricationMécanique.csv
4,0,2025-03-03 08:48:44,03/03/25 13:44:49,0 days 04:56:05.570691,Télécommunications.csv
84,0,2025-03-03 19:34:27,03/03/25 21:00:18,0 days 01:25:51.080611,FabricationMécanique.csv
85,0,2025-03-03 22:31:06,03/03/25 23:05:57,0 days 00:34:51.945142,FabricationMécanique.csv
86,0,2025-03-04 10:37:07,04/03/25 12:37:24,0 days 02:00:17.221874,FabricationMécanique.csv
87,0,2025-03-04 13:49:40,04/03/25 15:44:00,0 days 01:54:20.564371,FabricationMécanique.csv
88,0,2025-03-04 16:24:00,04/03/25 16:50:38,0 days 00:26:38.268169,FabricationMécanique.csv
