,Start,End,Delta
0,22/02/25 14:13:33,22/02/25 15:31:03,0 days 01:17:30.287363
0,22/02/25 15:43:02,22/02/25 16:18:15,0 days 00:35:13.558243
0,22/02/25 18:18:34,22/02/25 19:39:44,0 days 01:21:10.819492
0,11/03/25 10:29:35,11/03/25 10:29:39,0 days 00:00:04.841024
0,15/03/25 10:47:20,15/03/25 12:36:14,0 days 01:48:54.731124
0,15/03/25 16:18:49,15/03/25 18:23:53,0 days 02:05:04.894771
0,29/03/25 10:30:08,29/03/25 12:13:04,0 days 01:42:56.703952
0,29/03/25 13:53:13,29/03/25 15:42:49,0 days 01:49:36.964296
0,29/03/25 16:40:54,29/03/25 17:49:00,0 days 01:08:06.434957
0,30/03/25 10:34:06,30/03/25 12:46:43,0 days 02:12:37.401694
0,30/03/25 13:52:42,30/03/25 16:04:58,0 days 02:12:16.297887
0,30/03/25 17:12:49,30/03/25 18:25:06,0 days 01:12:17.740232
0,31/03/25 08:08:14,31/03/25 11:02:53,0 days 02:54:39.625386
0,31/03/25 11:08:36,31/03/25 11:57:26,0 days 00:48:50.136909
0,31/03/25 13:32:25,31/03/25 13:53:55,0 days 00:21:30.700063
0,31/03/25 14:05:31,31/03/25 15:52:09,0 days 01:46:38.340666
0,02/04/25 10:17:56,02/04/25 12:10:50,0 days 01:52:54.283527
0,06/04/25 09:21:01,06/04/25 11:01:15,0 days 01:40:14.123292
0,06/04/25 14:10:13,06/04/25 16:44:57,0 days 02:34:44.210345
0,06/04/25 17:49:42,06/04/25 19:10:06,0 days 01:20:24.416715
0,06/04/25 23:13:57,07/04/25 00:05:19,0 days 00:51:22.921359
0,07/04/25 14:26:41,07/04/25 15:37:53,0 days 01:11:12.449986
0,23/04/25 15:15:53,23/04/25 18:23:00,0 days 03:07:07.614200
0,23/04/25 19:09:46,23/04/25 19:34:05,0 days 00:24:19.035420
0,24/04/25 09:48:08,24/04/25 12:43:36,0 days 02:55:28.331735
0,24/04/25 15:05:21,24/04/25 16:30:30,0 days 01:25:09.538122
0,02/05/25 13:39:15,02/05/25 15:19:39,0 days 01:40:24.385358
0,11/05/25 15:15:13,11/05/25 18:54:29,0 days 03:39:16.298914
0,11/05/25 19:12:23,11/05/25 20:26:33,0 days 01:14:10.493164
0,11/05/25 21:52:04,11/05/25 22:37:10,0 days 00:45:06.741547
0,12/05/25 08:38:19,12/05/25 10:41:33,0 days 02:03:14.153309
0,12/05/25 11:00:23,12/05/25 13:05:51,0 days 02:05:28.409214
0,12/05/25 15:53:14,12/05/25 18:40:53,0 days 02:47:39.644480
0,13/05/25 09:04:57,13/05/25 11:08:32,0 days 02:03:35.694861
0,13/05/25 11:38:08,13/05/25 12:14:11,0 days 00:36:03.792877
0,13/05/25 13:11:02,13/05/25 15:00:35,0 days 01:49:33.889151
