,Start,End,Delta
0,13/02/25 12:53:01,13/02/25 13:19:17,0 days 00:26:16.014118
0,13/02/25 13:58:04,13/02/25 15:02:15,0 days 01:04:11.987473
0,13/02/25 15:37:44,13/02/25 16:10:52,0 days 00:33:08.789336
0,17/02/25 10:51:22,17/02/25 12:52:35,0 days 02:01:13.565749
0,17/02/25 16:26:56,17/02/25 17:37:36,0 days 01:10:40.676543
0,18/02/25 16:34:19,18/02/25 16:47:21,0 days 00:13:02.818800
0,19/02/25 15:31:51,19/02/25 16:43:42,0 days 01:11:51.364459
0,19/02/25 17:02:52,19/02/25 17:07:48,0 days 00:04:56.157239
0,20/02/25 15:01:53,20/02/25 15:03:03,0 days 00:01:10.449002
0,22/02/25 11:25:56,22/02/25 12:23:24,0 days 00:57:28.931434
0,25/02/25 13:52:20,25/02/25 15:00:19,0 days 01:07:59.954650
0,25/02/25 15:02:05,25/02/25 15:16:59,0 days 00:14:54.988213
0,25/02/25 17:00:34,25/02/25 17:43:57,0 days 00:43:23.850039
0,26/02/25 10:49:17,26/02/25 12:40:55,0 days 01:51:38.052687
0,26/02/25 14:21:26,26/02/25 16:05:02,0 days 01:43:36.996436
0,05/03/25 14:40:10,05/03/25 18:16:31,0 days 03:36:21.154955
0,10/03/25 16:29:10,10/03/25 18:11:51,0 days 01:42:41.305163
0,11/03/25 10:29:43,11/03/25 12:13:30,0 days 01:43:47.224087
0,11/03/25 13:27:36,11/03/25 13:42:32,0 days 00:14:56.905811
0,11/03/25 15:03:49,13/03/25 09:19:28,0 days 00:45:00.000000
0,13/03/25 09:20:11,13/03/25 11:57:47,0 days 02:37:36.985549
0,13/03/25 13:26:11,13/03/25 15:54:57,0 days 02:28:46.418370
0,13/03/25 18:10:16,13/03/25 19:30:58,0 days 01:20:42.465413
0,13/03/25 22:21:35,13/03/25 22:41:58,0 days 00:20:23.099145
0,17/03/25 10:32:52,17/03/25 12:47:47,0 days 02:14:55.547694
0,17/03/25 14:51:46,17/03/25 14:59:41,0 days 00:07:55.345357
0,18/03/25 09:37:58,18/03/25 11:57:16,0 days 02:19:18.737792
0,18/03/25 13:45:14,18/03/25 15:44:01,0 days 01:58:47.537981
0,18/03/25 23:34:00,19/03/25 01:49:15,0 days 02:15:15.627916
0,19/03/25 09:06:29,19/03/25 09:58:10,0 days 00:51:41.660087
0,19/03/25 11:10:28,19/03/25 11:59:20,0 days 00:48:52.789942
0,19/03/25 13:23:22,19/03/25 14:43:16,0 days 01:19:54.525784
0,20/03/25 11:06:21,20/03/25 12:49:23,0 days 01:43:02.425018
0,22/03/25 09:48:51,22/03/25 11:58:14,0 days 02:09:23.871563
0,22/03/25 13:21:37,22/03/25 16:24:20,0 days 03:02:43.633782
0,22/03/25 18:43:27,22/03/25 19:32:32,0 days 00:49:05.388626
0,23/03/25 10:10:50,23/03/25 11:13:43,0 days 01:02:53.734145
0,23/03/25 13:25:20,23/03/25 15:57:44,0 days 02:32:24.256098
0,24/03/25 09:45:16,24/03/25 12:08:24,0 days 02:23:08.721097
0,25/03/25 09:27:10,25/03/25 11:46:39,0 days 02:19:29.054251
0,25/03/25 14:30:14,25/03/25 16:44:52,0 days 02:14:38.181766
0,02/04/25 14:35:17,02/04/25 16:24:46,0 days 01:49:29.091857
0,05/04/25 11:10:18,05/04/25 12:03:33,0 days 00:53:15.390423
0,14/04/25 09:15:23,14/04/25 12:18:05,0 days 03:02:42.067871
0,14/04/25 13:17:00,14/04/25 15:56:47,0 days 02:39:47.862021
0,14/04/25 16:06:49,14/04/25 18:38:35,0 days 02:31:46.998091
0,14/04/25 19:40:55,14/04/25 20:24:48,0 days 00:43:53.796310
0,15/04/25 08:10:14,15/04/25 11:58:55,0 days 03:48:41.154074
0,15/04/25 14:25:33,15/04/25 15:08:22,0 days 00:42:49.481984
0,15/04/25 17:10:55,15/04/25 18:03:03,0 days 00:52:08.866529
0,29/04/25 14:01:32,29/04/25 14:43:13,0 days 00:41:41.481649
0,29/04/25 15:12:30,29/04/25 18:12:30,0 days 03:00:00.000000
0,30/04/25 09:47:03,30/04/25 10:42:12,0 days 00:55:09.352874
0,30/04/25 11:02:23,30/04/25 12:11:02,0 days 01:08:39.841938
0,30/04/25 14:11:51,30/04/25 16:26:34,0 days 02:14:43.454986
0,02/05/25 15:19:42,02/05/25 18:09:27,0 days 02:49:45.111021
0,06/05/25 21:10:32,06/05/25 21:42:31,0 days 00:31:59.270724
0,07/05/25 09:24:57,07/05/25 12:38:43,0 days 03:13:46.078334
0,07/05/25 16:07:56,07/05/25 18:28:43,0 days 02:20:47.615688
0,07/05/25 23:13:57,07/05/25 23:52:41,0 days 00:38:44.165771
0,13/05/25 15:53:29,13/05/25 17:48:33,0 days 01:55:04.548581
0,15/05/25 09:50:41,15/05/25 13:08:26,0 days 03:17:45.982631
0,15/05/25 17:25:38,15/05/25 18:20:37,0 days 00:54:59.928051
